index,name,price,image,source
28,"Fine Mesh Strainer",2944.56,https://cdn.dummyjson.com/product-images/kitchen-accessories/fine-mesh-strainer/1.webp,dj-57
29,"Fork",3000,https://cdn.dummyjson.com/product-images/kitchen-accessories/fork/1.webp,dj-58
30,"Glass",3001,https://cdn.dummyjson.com/product-images/kitchen-accessories/glass/1.webp,dj-59
31,"Grater Black",3112,https://cdn.dummyjson.com/product-images/kitchen-accessories/grater-black/1.webp,dj-60
32,"Hand Blender",3223,https://cdn.dummyjson.com/product-images/kitchen-accessories/hand-blender/1.webp,dj-61
33,"Ice Cube Tray",3334,https://cdn.dummyjson.com/product-images/kitchen-accessories/ice-cube-tray/1.webp,dj-62
34,"Kitchen Sieve",3445,https://cdn.dummyjson.com/product-images/kitchen-accessories/kitchen-sieve/1.webp,dj-63
35,"Knife",3556,https://cdn.dummyjson.com/product-images/kitchen-accessories/knife/1.webp,dj-64
36,"Lunch Box",3667,https://cdn.dummyjson.com/product-images/kitchen-accessories/lunch-box/1.webp,dj-65
37,"Microwave Oven",3778,https://cdn.dummyjson.com/product-images/kitchen-accessories/microwave-oven/1.webp,dj-66
38,"Mug Tree Stand",3889,https://cdn.dummyjson.com/product-images/kitchen-accessories/mug-tree-stand/1.webp,dj-67
39,"Pan",4000,https://cdn.dummyjson.com/product-images/kitchen-accessories/pan/1.webp,dj-68
40,"Plate",4001,https://cdn.dummyjson.com/product-images/kitchen-accessories/plate/1.webp,dj-69
41,"Red Tongs",4112,https://cdn.dummyjson.com/product-images/kitchen-accessories/red-tongs/1.webp,dj-70
42,"Silver Pot With Glass Cap",4223,https://cdn.dummyjson.com/product-images/kitchen-accessories/silver-pot-with-glass-cap/1.webp,dj-71
43,"Slotted Turner",4334,https://cdn.dummyjson.com/product-images/kitchen-accessories/slotted-turner/1.webp,dj-72
44,"Spice Rack",4445,https://cdn.dummyjson.com/product-images/kitchen-accessories/spice-rack/1.webp,dj-73
45,"Spoon",4556,https://cdn.dummyjson.com/product-images/kitchen-accessories/spoon/1.webp,dj-74
46,"Tray",4667,https://cdn.dummyjson.com/product-images/kitchen-accessories/tray/1.webp,dj-75
47,"Wooden Rolling Pin",4778,https://cdn.dummyjson.com/product-images/kitchen-accessories/wooden-rolling-pin/1.webp,dj-76
48,"Yellow Peeler",4889,https://cdn.dummyjson.com/product-images/kitchen-accessories/yellow-peeler/1.webp,dj-77
49,"Modern Minimalist Workstation Setup",5000,https://i.imgur.com/3oXNBst.jpeg,esc-33
