sku,name,brand,category,color,price_usd,list_price_usd,special_price_usd,price_php_original,list_price_php_original,currency,seller,image_url,product_url
7F85ASH808E8E5GS,4.5CM Microfiber Leather Slingback Mid Heel BY2050-36,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Nude,64.4,80.5,64.4,3944.8,4931.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/Uc1GDlVqCdrNmUIaQxHMydfKrbQ=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-2056-1400134-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-4-5cm-microfiber-leather-slingback-mid-heel-by2050-36-n-a-4310041
365D0SH44B5E92GS,4.5CM Square Toe Slingback Mid Heels XJ333-15,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Brown,45.86,65.35,45.86,2809.0,4003.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/XrSWfpeBgKn9-0a2oKhiJ2ROM7Q=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7047-4280792-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-4-5cm-square-toe-slingback-mid-heels-xj333-15-brown-2970824
954B1SH1D9BCD7GS,413,New Balance,Sports > Men's Sports > Footwear > Sneakers,Slate Grey (057),49.04,54.61,49.04,3004.0,3345.0,USD,ZALORA,https://dynamic.zacdn.com/ZTIuK4hnpvPTMQZM_cyxsATTpHU=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-0465-0740134-1.jpg,https://www.zalora.com.ph/p/new-balance-413-grey-4310470
254AFSHA6D6ABEGS,430,New Balance,Sports > Men's Sports > Footwear > Sneakers,Raincloud (161),53.14,53.14,,3255.0,3255.0,USD,ZALORA,https://dynamic.zacdn.com/Z-7alkJPc07Xpb7aqqHbsTyyW3Q=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-2649-2367134-1.jpg,https://www.zalora.com.ph/p/new-balance-430-multi-4317632
D126DSHAF1BAB8GS,4CM ‌Square-toe Fly Knit‌ Chunky Heels‌ TJ1509,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,Khaki,65.43,81.79,65.43,4008.0,5010.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/u3m6rc5eDdHaWaxULRSAfMR-uLA=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-6503-8297214-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-4cm-square-toe-fly-knit-chunky-heels-tj1509-n-a-4127928
5EC9AAA41E6608GS,5 Pocket Topstitch Detail Pants,Lacoste,Women > Clothing > Pants & Leggings > Straight Leg Pants,SINOPLE,107.26,178.76,107.26,6570.0,10950.0,USD,Lacoste Philippines,https://dynamic.zacdn.com/b6bHpx_4JRSjRqBngVmZ3ZR2qR8=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/lacoste-0513-0459363-1.jpg,https://www.zalora.com.ph/p/lacoste-5-pocket-topstitch-detail-pants-green-3639540
9582DSHFAA7217GS,5.5CM Pleated Strap Microfiber Leather Pumps TH568-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Khaki,56.39,62.17,56.39,3454.0,3808.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/wENLhZeeK8QmlTAgxZ7nZrpUYAE=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7781-5304883-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-5-5cm-pleated-strap-microfiber-leather-pumps-th568-1-n-a-3884035
C794BSHB0D2042GS,515,New Balance,Sports > Women's Sports > Footwear > Sneakers,Sea Salt,86.44,86.44,,5295.0,5295.0,USD,ZALORA,https://dynamic.zacdn.com/RmOZ9HreJHiondJdE_HLYd7FYpw=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-4466-8226234-1.jpg,https://www.zalora.com.ph/p/new-balance-515-multi-4326228
13EA8SH4E8AB58GS,515 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Sea Salt,77.05,86.44,77.05,4720.0,5295.0,USD,ZALORA,https://dynamic.zacdn.com/cKhDjOL4MlKDs77kWHoBoCGSI2Y=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-9667-6058293-1.jpg,https://www.zalora.com.ph/p/new-balance-515-classic-lifestyle-shoes-white-3928506
9AE15SH35AFC4BGS,515 Classic Lifestyle Shoes,New Balance,Sports > Men's Sports > Footwear > Sneakers,Black,80.47,86.44,80.47,4929.0,5295.0,USD,ZALORA,https://dynamic.zacdn.com/SWxMYKNfA242WzDTAg4285b2jbo=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-2414-0549593-1.jpg,https://www.zalora.com.ph/p/new-balance-515-classic-lifestyle-shoes-black-3959450
EF8A7SH1BB02FBGS,574,New Balance,Sports > Women's Sports > Footwear > Sneakers,Grey,78.96,108.48,78.96,4837.0,6645.0,USD,ZALORA,https://dynamic.zacdn.com/LSeA4W0IZ021e9q1nXOFVoRgPtA=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-7764-0493793-1.jpg,https://www.zalora.com.ph/p/new-balance-574-grey-3973940
B5BB2SHE346D62GS,574 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Dark Alpine Green,87.04,97.87,87.04,5332.0,5995.0,USD,ZALORA,https://dynamic.zacdn.com/Pv-3Sl8e6aXNTuo4-iTexsdkNDs=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-2056-1977604-1.jpg,https://www.zalora.com.ph/p/new-balance-574-classic-lifestyle-shoes-green-4067791
D01E1SHB6B0B55GS,574 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Dusk Shower,93.07,122.36,93.07,5701.0,7495.0,USD,ZALORA,https://dynamic.zacdn.com/vy8MmBi6REylwkecrGZUzvSfUX4=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-0848-7424763-1.jpg,https://www.zalora.com.ph/p/new-balance-574-classic-lifestyle-shoes-grey-3674247
4F10FSH518EC0EGS,574 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,Khaki Green/Multi,97.87,97.87,,5995.0,5995.0,USD,ZALORA,https://dynamic.zacdn.com/soGRJzmHCXTjg1pE0oLCKSd-7CA=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-9049-5415124-1.jpg,https://www.zalora.com.ph/p/new-balance-574-lifestyle-shoes-beige-4215145
F5FD3SHC89C1A2GS,5CM Ankle Strap Wedge Sandals HB103,Twenty Eight Shoes,Women > Shoes > Wedges > Wedge Sandals,Black beige,85.91,107.39,85.91,5262.4,6578.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/VuTdmP8c_6qBgaZUVb389evmQaM=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-0549-2289314-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-ankle-strap-wedge-sandals-hb103-n-a-4139822
09BC2SH3ABB8C8GS,5CM Bowknot Strap Mid Heel Sandals （Backless Strap Style）WTY1199-1-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Gold,59.06,67.88,59.06,3618.0,4158.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/Nq-Z_jjFhg1qWrmV5dVK-RXbZgo=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-8375-6188892-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-bowknot-strap-mid-heel-sandals-backless-strap-style-wty1199-1-1-gold-2988816
9C2EDSHDB5DD4CGS,5CM Bowknot Strap Mid Heel Sandals （Backless Strap Style）WTY1199-1-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Offwhite,59.06,67.88,59.06,3618.0,4158.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/SEUCix1Cg6Ls6uxW0kz7am-Bvdo=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7569-9188892-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-bowknot-strap-mid-heel-sandals-backless-strap-style-wty1199-1-1-white-2988819
CB085SHE9E2D56GS,5CM Floral Satin Mid Heels IF513-5,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,Beige,62.59,69.69,62.59,3834.0,4269.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/imIDaXguQwOVRTdrnVUjVrS2dOw=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-2170-7672092-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-floral-satin-mid-heels-if513-5-beige-2902767
CBDA9SH43F4A10GS,5CM Pearl Strap Mary Jane Shoes BY599-22,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,Red,67.7,81.79,67.7,4147.0,5010.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/u_1jBorXfJw2TnQHgr8RgVzRccI=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7508-6206114-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-pearl-strap-mary-jane-shoes-by599-22-red-4116026
BE220SHB57A758GS,680 Running Performance Shoes,New Balance,Sports > Men's Sports > Footwear > Sneakers,Castlerock,89.58,94.6,89.58,5487.0,5795.0,USD,ZALORA,https://dynamic.zacdn.com/2lO8GU1H4T6KfCZ4IjqLm7p5ia8=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/new-balance-2164-8614293-1.jpg,https://www.zalora.com.ph/p/new-balance-680-running-performance-shoes-grey-3924168
25FDESH5257AC4GS,6CM Brogue Patent Leather Derby Shoes TE6088-9,Twenty Eight Shoes,Women > Shoes > Flats > Oxford & Lace Up,Black,66.75,77.77,66.75,4089.0,4764.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/v8RgcZJt-idtHmlDLBsZOYghD8Y=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-9744-1750503-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-brogue-patent-leather-derby-shoes-te6088-9-black-3050571
E8F68SHE0882BBGS,6CM Cross Strap Clip Toe Sandals XJ3028-6,Twenty Eight Shoes,Women > Shoes > Sandals,Offwhite,45.69,76.03,45.69,2799.0,4657.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/i14lt1JbmoW6dJ4DM8O6W2uyVSA=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-5999-9053882-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-cross-strap-clip-toe-sandals-xj3028-6-white-2883509
637CFSH8E8F48EGS,6CM Double Buckle Leather Mary Jane Shoes MZ90175,Twenty Eight Shoes,Women > Shoes > Heels > Platforms,Black,65.28,92.17,65.28,3999.0,5646.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/7MSm5ayofecdoibevf0jrwUdY20=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-4746-7212662-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-double-buckle-leather-mary-jane-shoes-mz90175-black-2662127
6A159SH50688B8GS,6CM Faux Patent Pointed High Heel Shoes HZL160,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,black,58.12,60.08,58.12,3560.0,3680.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/KN1oXV3JpVaNDl843n3k9vQmc4A=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-8015-6827952-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-faux-patent-pointed-high-heel-shoes-hzl160-black-2597286
1534CSH7358C24GS,6CM Hollowed Pointed Metallic Microfiber Leather Wedding Heels PX708-B37,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,Gold,68.08,97.28,68.08,4170.0,5959.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/-zE6UmpD7eA89lwFeag17JyF4W4=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-7049-3834053-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-hollowed-pointed-metallic-microfiber-leather-wedding-heels-px708-b37-gold-3504383
262A4SH9CACCB5GS,6CM Hollowed Rhinestone Buckle Pointed Wedding Heels PX708-C61,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,Green,76.71,109.52,76.71,4699.0,6709.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/ei-vGsttNiDcY2wD4rc_4IfqWZs=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-8816-0190143-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-hollowed-rhinestone-buckle-pointed-wedding-heels-px708-c61-green-3410910
1CEE4SHDBBB179GS,6CM Patent Leather Pointed Slingback Mid Heels HZL279,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,Green,62.35,68.14,62.35,3819.0,4174.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/FU2q7F5sNodgYGEOrjY9_poCMDY=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-2413-7430872-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-patent-leather-pointed-slingback-mid-heels-hzl279-green-2780347
077D3SH3CF265FGS,6CM Rhinestone Strap Mule Heel TE726-29,Twenty Eight Shoes,Women > Shoes > Sandals,Black,58.77,72.48,58.77,3600.0,4440.0,USD,TWENTY EIGHT SHOES LTD,https://dynamic.zacdn.com/BXdYQzOLlyMGRB6x1ekysBdJKk8=/filters:quality(70):format(webp)/https://static-ph.zacdn.com/p/twenty-eight-shoes-8673-3944062-1.jpg,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-rhinestone-strap-mule-heel-te726-29-black-2604493
