name,brand,category,price_usd,list_price_usd,product_url
413,New Balance,Sports > Men's Sports > Footwear > Sneakers,49.04,54.61,https://www.zalora.com.ph/p/new-balance-413-grey-4310470
430,New Balance,Sports > Men's Sports > Footwear > Sneakers,53.14,53.14,https://www.zalora.com.ph/p/new-balance-430-multi-4317632
4CM ‌Square-toe Fly Knit‌ Chunky Heels‌ TJ1509,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,65.43,81.79,https://www.zalora.com.ph/p/twenty-eight-shoes-4cm-square-toe-fly-knit-chunky-heels-tj1509-n-a-4127928
5 Pocket Topstitch Detail Pants,Lacoste,Women > Clothing > Pants & Leggings > Straight Leg Pants,107.26,178.76,https://www.zalora.com.ph/p/lacoste-5-pocket-topstitch-detail-pants-green-3639540
5.5CM Pleated Strap Microfiber Leather Pumps TH568-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,56.39,62.17,https://www.zalora.com.ph/p/twenty-eight-shoes-5-5cm-pleated-strap-microfiber-leather-pumps-th568-1-n-a-3884035
515,New Balance,Sports > Women's Sports > Footwear > Sneakers,86.44,86.44,https://www.zalora.com.ph/p/new-balance-515-multi-4326228
515 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,77.05,86.44,https://www.zalora.com.ph/p/new-balance-515-classic-lifestyle-shoes-white-3928506
515 Classic Lifestyle Shoes,New Balance,Sports > Men's Sports > Footwear > Sneakers,80.47,86.44,https://www.zalora.com.ph/p/new-balance-515-classic-lifestyle-shoes-black-3959450
574,New Balance,Sports > Women's Sports > Footwear > Sneakers,78.96,108.48,https://www.zalora.com.ph/p/new-balance-574-grey-3973940
574 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,87.04,97.87,https://www.zalora.com.ph/p/new-balance-574-classic-lifestyle-shoes-green-4067791
574 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,93.07,122.36,https://www.zalora.com.ph/p/new-balance-574-classic-lifestyle-shoes-grey-3674247
574 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,97.87,97.87,https://www.zalora.com.ph/p/new-balance-574-lifestyle-shoes-beige-4215145
5CM Ankle Strap Wedge Sandals HB103,Twenty Eight Shoes,Women > Shoes > Wedges > Wedge Sandals,85.91,107.39,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-ankle-strap-wedge-sandals-hb103-n-a-4139822
5CM Bowknot Strap Mid Heel Sandals （Backless Strap Style）WTY1199-1-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,59.06,67.88,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-bowknot-strap-mid-heel-sandals-backless-strap-style-wty1199-1-1-gold-2988816
5CM Bowknot Strap Mid Heel Sandals （Backless Strap Style）WTY1199-1-1,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,59.06,67.88,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-bowknot-strap-mid-heel-sandals-backless-strap-style-wty1199-1-1-white-2988819
5CM Floral Satin Mid Heels IF513-5,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,62.59,69.69,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-floral-satin-mid-heels-if513-5-beige-2902767
5CM Pearl Strap Mary Jane Shoes BY599-22,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,67.7,81.79,https://www.zalora.com.ph/p/twenty-eight-shoes-5cm-pearl-strap-mary-jane-shoes-by599-22-red-4116026
680 Running Performance Shoes,New Balance,Sports > Men's Sports > Footwear > Sneakers,89.58,94.6,https://www.zalora.com.ph/p/new-balance-680-running-performance-shoes-grey-3924168
6CM Brogue Patent Leather Derby Shoes TE6088-9,Twenty Eight Shoes,Women > Shoes > Flats > Oxford & Lace Up,66.75,77.77,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-brogue-patent-leather-derby-shoes-te6088-9-black-3050571
6CM Cross Strap Clip Toe Sandals XJ3028-6,Twenty Eight Shoes,Women > Shoes > Sandals,45.69,76.03,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-cross-strap-clip-toe-sandals-xj3028-6-white-2883509
6CM Double Buckle Leather Mary Jane Shoes MZ90175,Twenty Eight Shoes,Women > Shoes > Heels > Platforms,65.28,92.17,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-double-buckle-leather-mary-jane-shoes-mz90175-black-2662127
6CM Faux Patent Pointed High Heel Shoes HZL160,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,58.12,60.08,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-faux-patent-pointed-high-heel-shoes-hzl160-black-2597286
6CM Hollowed Pointed Metallic Microfiber Leather Wedding Heels PX708-B37,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,68.08,97.28,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-hollowed-pointed-metallic-microfiber-leather-wedding-heels-px708-b37-gold-3504383
6CM Hollowed Rhinestone Buckle Pointed Wedding Heels PX708-C61,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,76.71,109.52,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-hollowed-rhinestone-buckle-pointed-wedding-heels-px708-c61-green-3410910
6CM Patent Leather Pointed Slingback Mid Heels HZL279,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,62.35,68.14,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-patent-leather-pointed-slingback-mid-heels-hzl279-green-2780347
6CM Rhinestone Strap Mule Heel TE726-29,Twenty Eight Shoes,Women > Shoes > Sandals,58.77,72.48,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-rhinestone-strap-mule-heel-te726-29-black-2604493
6CM Silk Fabrics Pointed High Heel Shoes HZL163,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,58.12,60.08,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-silk-fabrics-pointed-high-heel-shoes-hzl163-green-2604058
6CM Strap Satin Mary Jane Shoes BY2465-10,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,72.63,78.6,https://www.zalora.com.ph/p/twenty-eight-shoes-6cm-strap-satin-mary-jane-shoes-by2465-10-white-3321414
7.5CM Rabbit Accessories Tweed Mary Jane Shoes XJ2568-3,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,46.51,77.33,https://www.zalora.com.ph/p/twenty-eight-shoes-7-5cm-rabbit-accessories-tweed-mary-jane-shoes-xj2568-3-pink-2857298
7.5CM Strap Cotton Printed Wedge Espadrilles WTY158-8,Twenty Eight Shoes,Women > Shoes > Wedges > Wedge Sandals,48.96,74.67,https://www.zalora.com.ph/p/twenty-eight-shoes-7-5cm-strap-cotton-printed-wedge-espadrilles-wty158-8-white-2840461
740 Classic Lifestyle Shoes,New Balance,Women > Shoes > Sneakers,64.5,114.19,https://www.zalora.com.ph/p/new-balance-740-classic-lifestyle-shoes-white-4182544
740 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,114.19,114.19,https://www.zalora.com.ph/p/new-balance-740-lifestyle-shoes-grey-4350149
740 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,98.0,114.19,https://www.zalora.com.ph/p/new-balance-740-lifestyle-shoes-multi-4254386
740 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,114.19,114.19,https://www.zalora.com.ph/p/new-balance-740-lifestyle-shoes-multi-4350142
7CM Bow Pointy High Heel Shoes XJ175-21,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,41.61,69.22,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-bow-pointy-high-heel-shoes-xj175-21-red-2598588
7CM Bowknot Glitter Slingback High Heel BY8712-20,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,64.4,80.5,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-bowknot-glitter-slingback-high-heel-by8712-20-black-4310038
7CM Metal Buckle Tweed Mary Jane Shoes TE876-7,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,49.95,71.39,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-metal-buckle-tweed-mary-jane-shoes-te876-7-beige-2785061
7CM Microfiber Leather Open Toe High Heel BY1172-9,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,64.4,80.5,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-microfiber-leather-open-toe-high-heel-by1172-9-n-a-4310002
7CM Pearl Strap Backless High Heels BY2670-28,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,64.4,80.5,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-pearl-strap-backless-high-heels-by2670-28-white-4313784
7CM Pearl Strap Mary Jane Shoes BY2465-22,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,64.35,71.65,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-pearl-strap-mary-jane-shoes-by2465-22-white-3038802
7CM Square Buckle Chunky Heel Pumps BY2373-13,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,75.39,81.79,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-square-buckle-chunky-heel-pumps-by2373-13-n-a-3616885
7CM Square Toe Ribbon Pumps XJ1618-17,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,50.26,71.81,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-square-toe-ribbon-pumps-xj1618-17-beige-2655345
7CM Square Toe Zipper Ankle Boots XJ2178-8,Twenty Eight Shoes,Women > Shoes > Boots,54.35,72.11,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-square-toe-zipper-ankle-boots-xj2178-8-white-2580360
7CM Suede Stitched Zipper Ankle Boots TE3650-2,Twenty Eight Shoes,Women > Shoes > Boots,55.49,77.89,https://www.zalora.com.ph/p/twenty-eight-shoes-7cm-suede-stitched-zipper-ankle-boots-te3650-2-black-3101546
8.5CM Pearl Chain Pointy Plaid Pumps TE7198-7,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,51.57,73.64,https://www.zalora.com.ph/p/twenty-eight-shoes-8-5cm-pearl-chain-pointy-plaid-pumps-te7198-7-black-2781366
880,New Balance,Sports > Women's Sports > Women's Sports,157.37,157.37,https://www.zalora.com.ph/p/new-balance-880-multi-4127503
8CM Cross Strap High Heel Sandals XJ6743-5,Twenty Eight Shoes,Women > Shoes > Sandals,48.32,57.46,https://www.zalora.com.ph/p/twenty-eight-shoes-8cm-cross-strap-high-heel-sandals-xj6743-5-brown-2604436
8CM Patent Pointed High Heel Shoes HZL180,Twenty Eight Shoes,Women > Shoes > Heels > Pumps,58.12,60.08,https://www.zalora.com.ph/p/twenty-eight-shoes-8cm-patent-pointed-high-heel-shoes-hzl180-beige-2610085
8CM Rhinestone Bow High Heels IF82326,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,57.28,70.18,https://www.zalora.com.ph/p/twenty-eight-shoes-8cm-rhinestone-bow-high-heels-if82326-silver-2909141
8CM Simple Pointed Patent Leather Wedding Heels PX710-1-1,Twenty Eight Shoes,Women > Shoes > Heels > High Heels,68.84,98.42,https://www.zalora.com.ph/p/twenty-eight-shoes-8cm-simple-pointed-patent-leather-wedding-heels-px710-1-1-black-3411012
90/10 Small Fit Hoodie in Black,Balenciaga,Luxury > (Luxury) Women's Clothing > Outerwear > Hoodies & Sweatshirts,764.74,1307.88,https://www.zalora.com.ph/p/balenciaga-90-10-small-fit-hoodie-in-black-black-3040560
9060 Classic Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,135.19,159.9,https://www.zalora.com.ph/p/new-balance-9060-classic-lifestyle-shoes-white-3964978
950,New Balance,Sports > Women's Sports > Footwear > Sneakers,66.93,106.93,https://www.zalora.com.ph/p/new-balance-950-grey-4100348
950 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,106.03,106.03,https://www.zalora.com.ph/p/new-balance-950-lifestyle-shoes-navy-4339805
A Princess’ Wish Top,My Ballerine,Women > Clothing > Tops > Blouses,52.88,110.18,https://www.zalora.com.ph/p/my-ballerine-a-princess-wish-top-blue-3260283
A-Line Chiffon Dress,Trendyol,Women > Clothing > Dresses > Work Dresses,17.4,43.73,https://www.zalora.com.ph/p/trendyol-a-line-chiffon-dress-black-3237163
A-Line Mini Dress,Trendyol,Women > Clothing > Dresses > Summer Dresses,20.75,35.74,https://www.zalora.com.ph/p/trendyol-a-line-mini-dress-black-3719428
A-Line Mini Skirt,& Other Stories,Women > Clothing > Skirts > Mini Skirts,91.34,91.34,https://www.zalora.com.ph/p/other-stories-a-line-mini-skirt-red-2880481
A-Line Short Waist Skirt,Jnby,Women > Clothing > Skirts,159.66,159.66,https://www.zalora.com.ph/p/jnby-a-line-short-waist-skirt-black-3668684
A-line Dress With Floral Prints,Saturday Club,Women > Clothing > Dresses > Mini Dresses,55.49,55.49,https://www.zalora.com.ph/p/saturday-club-a-line-dress-with-floral-prints-navy-1618630
ABZORB 2010 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,159.9,159.9,https://www.zalora.com.ph/p/new-balance-abzorb-2010-lifestyle-shoes-brown-4200122
ABZORB 2010 Lifestyle Shoes,New Balance,Sports > Women's Sports > Footwear > Sneakers,146.3,159.9,https://www.zalora.com.ph/p/new-balance-abzorb-2010-lifestyle-shoes-black-4200121
ACS + NIGHT Unisex Sportstyle Shoes in Black/Turbulence/Ftw Silver,Salomon,Men > Shoes > Sports Shoes,212.06,212.06,https://www.zalora.com.ph/p/salomon-acs-night-unisex-sportstyle-shoes-in-black-turbulence-ftw-silver-black-3836208
ACS + OG Unisex Sportstyle Shoes in Castlerock / Ftw Silver / Hazelnut,Salomon,Men > Shoes > Sports Shoes,195.74,195.74,https://www.zalora.com.ph/p/salomon-acs-og-unisex-sportstyle-shoes-in-castlerock-ftw-silver-hazelnut-silver-3853690
ACS WAS 24 P3 Women's Socks,World Balance,Women > Sports > Clothing > Socks,10.0,10.0,https://www.zalora.com.ph/p/world-balance-acs-was-24-p3-women-s-socks-black-grey-white-2834749
ADIZERO Dropset Pro Training Shoes,ADIDAS,Sports > Men's Sports > Footwear > Training Shoes,138.76,138.76,https://www.zalora.com.ph/p/adidas-adizero-dropset-pro-training-shoes-black-4333264
ADVANTAGE BASE SHOES,ADIDAS,Sports > Men's Sports > Footwear > Training Shoes,70.2,70.2,https://www.zalora.com.ph/p/adidas-advantage-base-shoes-white-2498668
APEX TRAINER Men's Performance Shoes,World Balance,Men > Shoes > Sports Shoes,45.69,45.69,https://www.zalora.com.ph/p/world-balance-apex-trainer-men-s-performance-shoes-grey-white-4069794
AURILLE Women's Lifestyle Athleisure Sandals,World Balance,Women > Sports > Footwear > Sandals & Flip-flops,27.74,27.74,https://www.zalora.com.ph/p/world-balance-aurille-women-s-lifestyle-athleisure-sandals-black-4243176
AVIRA Men's Lifestyle Classic Shoes,ONE UP,Men > Shoes > Sneakers,16.31,27.74,https://www.zalora.com.ph/p/one-up-avira-men-s-lifestyle-classic-shoes-white-4313202
Abstract Frame Graphic White Cotton Short Sleeve Regular Fit Tee,QuirkyT,Sports > Men's Sports > Clothing > T-Shirts,29.43,65.4,https://www.zalora.com.ph/p/quirkyt-abstract-frame-graphic-white-cotton-short-sleeve-regular-fit-tee-white-2915516
Ace Pleated Skirt,FORCAST,Women > Clothing > Skirts > Mini Skirts,55.34,55.34,https://www.zalora.com.ph/p/forcast-ace-pleated-skirt-brown-3627827
Activate Nitro Tr Hyrox Wns,PUMA,Sports > Women's Sports > Footwear > Training Shoes,130.6,130.6,https://www.zalora.com.ph/p/puma-activate-nitro-tr-hyrox-wns-green-4264643
Active Classic Tank Top with Removable Pads Women Activewear,SASSA,Sports > Women's Sports > Clothing > Tanks & Singlets,11.41,11.41,https://www.zalora.com.ph/p/sassa-active-classic-tank-top-with-removable-pads-women-activewear-black-2774059
Adair Sandals,CLN,Women > Shoes > Sandals > Flat Sandals,13.04,24.47,https://www.zalora.com.ph/p/cln-adair-sandals-white-4188310
Addie Top In Grey,UMMA,Women > Clothing > Tops,35.9,35.9,https://www.zalora.com.ph/p/umma-addie-top-in-grey-grey-1553103
Adela Dress,Cole Vintage,Women > Clothing > Dresses > Maxi Dresses,13.05,26.1,https://www.zalora.com.ph/p/cole-vintage-adela-dress-multi-1928389
Adilette 00s Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,47.34,47.34,https://www.zalora.com.ph/p/adidas-adilette-00s-slides-grey-4312182
Adilette 00s Slides,ADIDAS,Sports > Men's Sports > Footwear > Sandals & Flip Flops,28.26,47.34,https://www.zalora.com.ph/p/adidas-adilette-00s-slides-grey-4143749
Adilette 00s Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,44.7,47.34,https://www.zalora.com.ph/p/adidas-adilette-00s-slides-green-4211980
Adilette 00s Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,47.34,47.34,https://www.zalora.com.ph/p/adidas-adilette-00s-slides-black-4211939
Adilette 22 XLG Slide Sandals,ADIDAS,Women > Sports > Footwear > Sandals & Flip-flops,66.57,70.2,https://www.zalora.com.ph/p/adidas-adilette-22-xlg-slide-sandals-green-3849802
Adilette Aqua Slides,ADIDAS,Men > Sports > Clothing,26.12,26.12,https://www.zalora.com.ph/p/adidas-adilette-aqua-slides-pink-2262834
Adilette Aqua Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,27.75,27.75,https://www.zalora.com.ph/p/adidas-adilette-aqua-slides-blue-1803726
Adilette Aqua Slides,ADIDAS,Women > Sports > Footwear > Sandals & Flip-flops,27.75,27.75,https://www.zalora.com.ph/p/adidas-adilette-aqua-slides-orange-3864130
Adilette Lumia Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,27.75,27.75,https://www.zalora.com.ph/p/adidas-adilette-lumia-slides-multi-3715633
Adilette OG CF Slide Sandals,ADIDAS,Sports > Women's Sports > Footwear > Sandals & Flip Flops,32.65,32.65,https://www.zalora.com.ph/p/adidas-adilette-og-cf-slide-sandals-black-4180633
Adilette OG CF Slide Sandals,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,21.43,34.28,https://www.zalora.com.ph/p/adidas-adilette-og-cf-slide-sandals-red-4180458
Adilette OG Cf Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,32.65,32.65,https://www.zalora.com.ph/p/adidas-adilette-og-cf-slides-black-4310372
Adilette Shower Slides,ADIDAS,Sports > Women's Sports > Footwear > Sandals & Flip Flops,31.02,31.02,https://www.zalora.com.ph/p/adidas-adilette-shower-slides-green-4044041
Adissage Slides,ADIDAS,Men > Sports > Footwear > Sandals & Flip-Flops,24.49,24.49,https://www.zalora.com.ph/p/adidas-adissage-slides-black-2063462
Adistar Control 5 Shoes,ADIDAS,Men > Sports > Footwear > Lifestyle,106.11,106.11,https://www.zalora.com.ph/p/adidas-adistar-control-5-shoes-white-4296083
Adizero Aruku Shoes,ADIDAS,Men > Sports > Footwear > Lifestyle,119.17,119.17,https://www.zalora.com.ph/p/adidas-adizero-aruku-shoes-white-3849845
Adizero Aruku Shoes,ADIDAS,Women > Sports > Footwear > Lifestyle,119.17,119.17,https://www.zalora.com.ph/p/adidas-adizero-aruku-shoes-grey-3849555
Adizero Evo SL EXO Shoes,ADIDAS,Sports > Men's Sports > Footwear > Sneakers,146.92,146.92,https://www.zalora.com.ph/p/adidas-adizero-evo-sl-exo-shoes-black-4310329
Adizero Evo SL Exo Running Shoes,ADIDAS,Sports > Men's Sports > Footwear > Sneakers,146.92,146.92,https://www.zalora.com.ph/p/adidas-adizero-evo-sl-exo-running-shoes-purple-4328642
Adizero Evo SL Shoes,ADIDAS,Sports > Men's Sports > Footwear > Sneakers,138.76,138.76,https://www.zalora.com.ph/p/adidas-adizero-evo-sl-shoes-black-4190613
Adizero Goukana Shoes,ADIDAS,Sports > Women's Sports > Footwear > Sneakers,146.92,146.92,https://www.zalora.com.ph/p/adidas-adizero-goukana-shoes-white-4180310
Aero Shift Men's Performance Basketball Shoes,World Balance,Men > Shoes > Sports Shoes,53.86,53.86,https://www.zalora.com.ph/p/world-balance-aero-shift-men-s-performance-basketball-shoes-white-yellow-4233110
Agility Peak 5 – Chalk/Ice Blue Women’s Trail Running Shoes,Merrell,Women > Shoes > Sneakers,94.2,114.19,https://www.zalora.com.ph/p/merrell-agility-peak-5-chalk-ice-blue-women-s-trail-running-shoes-beige-4267456
Aiden Trainers - BOSS Orange,BOSS,Men > Shoes > Sneakers,263.63,263.63,https://www.zalora.com.ph/p/boss-aiden-trainers-boss-orange-beige-4263412
Aimee Sleeveless Shirt,FORCAST,Women > Clothing > Tops > Shirts,24.41,48.81,https://www.zalora.com.ph/p/forcast-aimee-sleeveless-shirt-white-2643259
Air 1 Low SE Men's Shoes,Jordan,Sports > Men's Sports > Footwear > Sneakers,119.09,119.09,https://www.zalora.com.ph/p/jordan-air-1-low-se-men-s-shoes-white-4314196
"Air Force 1 '07 LV8 ""Denim"" Shoes",Nike,Sports > Men's Sports > Footwear > Sneakers,104.51,114.19,https://www.zalora.com.ph/p/nike-air-force-1-07-lv8-denim-shoes-multi-4225411
Air Force 1 '07 SE Women's Shoes,Nike,Sports > Women's Sports > Footwear > Sneakers,103.63,114.19,https://www.zalora.com.ph/p/nike-air-force-1-07-se-women-s-shoes-multi-4227711
Air Jordan 1 Mid SE Shoes,Jordan,Sports > Women's Sports > Footwear > Sneakers,128.89,128.89,https://www.zalora.com.ph/p/jordan-air-jordan-1-mid-se-shoes-white-3753025
